wavelength_nm,Dark,Light,Transmission,Source,Sample
345.9817242,14.335781249999956,14.335781249999956,14.335781249999956,1.0,1.0
346.19757813789363,34172.406562499884,34172.406562499884,34172.406562499884,1.0,1.0
346.4134211159492,1085.5274359130856,1099.7832183837884,1120.4229034423827,14.255782470702798,34.89546752929709
346.6292531317287,1081.9674902343747,1094.431300048828,1115.1429840087892,12.46380981445327,33.17549377441446
346.84507418279395,1088.2473944091796,1100.095213623047,1118.43093383789,11.847819213867297,30.183539428710446
347.060884266707,1120.718898925782,1141.4945819091795,1162.0142687988287,20.775682983397473,41.29536987304664
347.2766833810296,1129.9747576904304,1149.5104595947264,1171.6701214599602,19.535701904296047,41.69536376952988
347.492471523324,1115.214982910156,1136.5586572265631,1155.1503735351566,21.343674316407032,39.93539062500054
347.7082486911518,1126.7588067626955,1148.8544696044926,1172.7021057128904,22.095662841797093,45.94329895019496
347.92401488207526,1125.2868292236317,1147.038497314454,1167.8301800537108,21.75166809082225,42.543350830079135
348.139770093656,1123.2148608398434,1141.4465826416015,1166.6941973876956,18.231721801758113,43.4793365478522
348.35551432345613,1130.50274963379,1147.5424896240224,1167.9901776123045,17.03973999023242,37.48742797851446
348.57124756903755,1133.534703369141,1158.5583215332028,1175.7820587158208,25.023618164061872,42.2473553466798
348.7869698279622,1114.6949908447268,1137.6066412353514,1160.0942980957027,22.911650390624573,45.39930725097588
349.002681097792,1120.310905151367,1141.8865759277344,1162.902255249024,21.57567077636736,42.591350097656914
349.21838137608904,1120.5909008789067,1142.7025634765623,1166.8701947021495,22.111662597655595,46.279293823242824
349.434070660415,1122.0388787841803,1140.1426025390626,1166.8381951904298,18.103723754882367,44.799316406249545
349.6497489483319,1131.678731689453,1152.4784143066406,1177.006040039063,20.799682617187727,45.32730834961012
349.86541623740175,1133.494703979492,1211.9895062255853,1221.0133685302728,78.49480224609329,87.51866455078084
350.08107252518647,1130.7827453613281,1229.0932452392576,1235.7251440429693,98.31049987792949,104.94239868164118
350.2967178092479,1139.4626129150402,1238.0691082763672,1242.205045166015,98.606495361327,102.74243225097484
350.5123520871482,1126.5268103027342,1228.597252807617,1237.22912109375,102.07044250488275,110.70231079101586
350.72797535644906,1141.0385888671876,1239.3890881347656,1246.916973266601,98.35049926757802,105.87838439941333
350.9435876147125,1131.222738647461,1227.8852636718748,1237.6931140136714,96.66252502441375,106.47037536621042
351.1591888595005,1132.8387139892575,1228.2052587890626,1247.2449682617191,95.36654479980507,114.40625427246164
351.37477908837496,1131.0227416992188,1230.8612182617185,1238.5811004638679,99.83847656249964,107.55835876464903
351.59035829889785,1148.1024810791014,1248.572947998047,1253.4288739013682,100.4704669189457,105.32639282226683
351.80592648863103,1125.9428192138673,1223.5893292236333,1236.1011383056632,97.64651000976596,110.15831909179587
352.02148365513654,1119.4869177246096,1223.877324829101,1230.4852239990232,104.39040710449149,110.99830627441361
352.2370297959762,1126.0548175048827,1226.7332812499994,1241.4850561523428,100.67846374511669,115.4302386474601
352.45256490871196,1121.0548937988285,1227.1012756347664,1233.5731768798828,106.04638183593784,112.51828308105428
352.66808899090586,1121.6068853759766,1220.1333819580093,1230.8772180175772,98.52649658203268,109.27033264160059
352.8836020401198,1136.4946582031246,1241.2290600585932,1246.3649816894533,104.7344018554686,109.87032348632874
353.09910405391565,1115.9829711914067,1221.4053625488277,1228.0212615966793,105.42239135742102,112.03829040527262
353.3145950298554,1127.6227935791014,1225.4933001708982,1239.2370904541015,97.87050659179681,111.61429687500004
353.53007496550094,1112.05503112793,1223.4933306884768,1227.397271118164,111.43829956054674,115.34223999023402
353.7455438584143,1134.0946948242176,1238.853096313477,1244.0770166015625,104.75840148925931,109.98232177734485
353.96100170615733,1123.6308544921867,1225.885294189453,1233.0211853027342,102.2544396972662,109.39033081054754
354.17644850629205,1127.7347918701169,1241.8610504150392,1248.988941650391,114.1262585449224,121.25414978027425
354.39188425638025,1135.3266760253912,1241.309058837891,1249.0209411621101,105.98238281249974,113.69426513671897
354.607308953984,1135.4466741943359,1241.2770593261719,1249.404935302734,105.83038513183601,113.95826110839812
354.82272259666513,1118.2389367675787,1227.797265014648,1229.6932360839846,109.55832824706931,111.45429931640592
355.0381251819857,1125.0788323974614,1240.7090679931648,1250.0209259033206,115.63023559570343,124.94209350585925
355.2535167075076,1125.1508312988283,1241.0770623779292,1241.1730609130852,115.92623107910094,116.02222961425696
355.46889717079273,1149.9904522705076,1263.8607147216806,1271.436599121095,113.87026245117295,121.44614685058741
355.684266569403,1131.2787377929692,1248.308952026367,1249.2609375,117.03021423339783,117.98219970703076
355.8996249009004,1136.3506604003906,1253.3168756103519,1258.700793457031,116.96621520996132,122.35013305664052
356.1149721628468,1114.5749926757812,1228.1652593994133,1238.5251013183597,113.59026672363211,123.95010864257847
356.3303083528043,1128.1507855224606,1246.8289746093747,1244.2450140380856,118.67818908691402,116.09422851562499
356.54563346833476,1137.206647338868,1258.9007904052721,1263.3567224121098,121.6941430664042,126.15007507324185
356.76094750699997,1134.9266821289064,1252.7968835449228,1253.1168786621088,117.87020141601647,118.19019653320242
356.97625046636205,1131.8307293701175,1254.6608551025388,1258.5647955322265,122.83012573242127,126.734066162109
357.1915423439828,1127.2147998046873,1251.3329058837887,1249.7889294433594,124.11810607910138,122.57412963867205
357.4068231374243,1123.2068609619143,1250.748914794923,1253.548872070313,127.5420538330086,130.34201110839876
357.62209284424836,1138.238631591797,1267.7326556396492,1266.9166680908197,129.49402404785224,128.6780364990227
357.83735146201695,1126.670808105469,1255.1808471679688,1261.236754760742,128.5100390624998,134.56594665527314
358.0525989882921,1137.7026397705076,1264.6767022705071,1266.9326678466796,126.97406249999949,129.23002807617195
358.2678354206356,1124.3028442382815,1270.3166162109374,1267.012666625977,146.01377197265583,142.70982238769557
358.4830607566094,1126.4948107910157,1268.3886456298835,1267.8126544189452,141.89383483886786,141.3178436279295
358.6982749937756,1142.3585687255866,1282.4364312744133,1284.8443945312506,140.07786254882672,142.48582580566404
358.91347812969593,1126.0708172607426,1278.9404846191399,1271.2846014404302,152.86966735839724,145.21378417968754
359.1286701619325,1127.2787988281245,1280.0124682617184,1273.8685620117187,152.73366943359383,146.5897631835942
359.34385108804713,1150.6784417724612,1311.3079907226575,1301.9161340332037,160.6295489501963,151.2376922607425
359.5590209056018,1114.0870001220712,1283.0364221191412,1271.24460205078,168.94942199706998,157.1576019287088
359.77417961215843,1120.8388970947262,1295.5962304687498,1287.732350463867,174.75733337402357,166.89345336914084
359.9893272052789,1135.0386804199218,1318.555880126953,1306.8120593261717,183.5171997070313,171.77337890624995
360.20446368252533,1134.1986932373045,1331.0196899414059,1314.2199462890624,196.8209967041014,180.02125305175787
360.4195890414596,1123.526856079101,1325.6837713623038,1306.756060180664,202.1569152832028,183.22920410156303
360.6347032796434,1117.4789483642587,1331.7236791992189,1304.9720874023444,214.24473083496014,187.4931390380857
360.84980639463885,1136.6306561279287,1363.1711993408198,1340.019552612305,226.54054321289118,203.38889648437635
361.06489838400796,1138.6706250000002,1383.362891235352,1353.3793487548826,244.69226623535178,214.70872375488239
361.2799792453126,1119.8549121093745,1372.4830572509763,1338.8915698242185,252.62814514160186,219.03665771484407
361.4950489761147,1132.3667211914064,1400.5066296386715,1358.5312701416024,268.13990844726504,226.16454895019592
