wavelength_nm,Dark,Light,Sample
345.9817242,14.33578125000147,14.33578125000147,14.33578125000147
346.19757813789363,34172.406562503595,34172.406562503595,34172.406562503595
346.4134211159492,1245.1415003585855,1250.8674129867547,1257.6398096466073
346.6292531317287,1243.0570321655248,1248.1369546508777,1254.8448522949168
346.84507418279395,1246.0844859695462,1250.111924514773,1257.48581199646
347.060884266707,1250.0584253311151,1255.1473476791396,1260.8567605590845
347.2766833810296,1252.6898851776125,1258.5617955780021,1264.6547026061985
347.492471523324,1248.6259471893286,1254.7428538513157,1260.2652695846564
347.7082486911518,1253.917866439821,1257.6488095092811,1264.978697662356
347.92401488207526,1250.9024124526964,1255.8018376922628,1261.9862433242763
348.139770093656,1252.03489517212,1258.463797073362,1263.3792220687878
348.35551432345613,1250.4689190673841,1255.8533369064348,1262.7437317657464
348.57124756903755,1254.4673580551153,1258.8487911987288,1265.3791915512104
348.7869698279622,1249.134939422606,1254.5683565139784,1260.3872677230859
349.002681097792,1252.74088439941,1257.0103192520148,1263.6417180633582
349.21838137608904,1251.194907989499,1256.2883302688585,1263.5512194442726
349.434070660415,1252.5258876800501,1257.092817993163,1263.5667192077658
349.6497489483319,1253.1788777160637,1257.97230457306,1264.7762007522538
349.86541623740175,1254.4948576354984,1266.7496706390368,1273.0355747222904
350.08107252518647,1251.3434057235731,1266.1001805496232,1272.1170887374894
350.2967178092479,1254.9848501586916,1270.0736199188268,1275.2385411071784
350.5123520871482,1251.8048986816445,1266.6206726074217,1274.0825587463378
350.72797535644906,1255.0023498916632,1268.964636840824,1275.9095308685296
350.9435876147125,1251.7368997192398,1265.8546842956537,1272.8970768356307
351.1591888595005,1254.373359489442,1268.8221390151962,1275.5835358429022
351.37477908837496,1252.6608856201171,1268.1451493453987,1273.2410715866079
351.59035829889785,1255.8233373642006,1270.3786152648922,1276.7960173416154
351.80592648863103,1252.0318952178939,1265.8921837234493,1272.3995844268782
352.02148365513654,1252.8338829803486,1267.132164802555,1274.016559753416
352.2370297959762,1252.0448950195325,1266.1641795730573,1273.4760680007937
352.45256490871196,1252.7313845443725,1267.8326541137708,1274.2575560760495
352.66808899090586,1250.91141231537,1265.9271831893873,1273.6910647201516
352.8836020401198,1255.6343402481107,1271.4645986938494,1277.6675040435816
353.09910405391565,1250.7489147949184,1266.4596750640853,1271.7145948791497
353.3145950298554,1254.3278601837096,1269.355130882266,1276.0760283279421
353.53007496550094,1250.2869218444816,1265.0636963653553,1273.0540744399982
353.7455438584143,1254.26486114502,1270.6096117401078,1276.945015068057
353.96100170615733,1250.707415428161,1266.3436768341066,1272.92007648468
354.17644850629205,1255.1188481140123,1270.9961058425881,1277.5725054931684
354.39188425638025,1254.6418553924566,1268.3056468963614,1274.7740481948872
354.607308953984,1254.9283510208138,1270.5271129989617,1278.139996833802
354.82272259666513,1251.426904449461,1266.8686688232422,1272.7745787048327
355.0381251819857,1254.6123558425911,1269.8561232376128,1275.524036750796
355.2535167075076,1253.224377021792,1268.3616460418643,1274.593550949099
355.46889717079273,1257.9933042526238,1274.6180505752536,1281.066952171327
355.684266569403,1254.0803639602648,1268.449144706723,1274.7525485229478
355.8996249009004,1257.273815231324,1272.3760847854621,1278.5479906082178
356.1149721628468,1251.1749082946797,1266.9946669006354,1272.7955783844
356.3303083528043,1254.8423523330687,1271.39859970093,1276.4735222625748
356.54563346833476,1253.8178679656924,1270.5856121063216,1276.4300229263251
356.76094750699997,1255.2238465118423,1271.7785939025869,1278.4469921493549
356.97625046636205,1253.536372261049,1269.8976226043712,1277.2120109939563
357.1915423439828,1255.8583368301365,1273.2510714340217,1277.4330076217664
357.4068231374243,1252.0913943099983,1269.8331235885582,1276.365023918147
357.62209284424836,1256.8883211135844,1275.7495333099375,1281.136951103214
357.83735146201695,1253.1658779144318,1271.1546034240787,1277.0610132980346
358.0525989882921,1256.1683320999132,1274.0820587539636,1279.9304695129374
358.2678354206356,1253.0908790588405,1271.0171055221592,1277.3115094757102
358.4830607566094,1256.0323341751084,1275.0410441207914,1280.3434632110598
358.6982749937756,1254.4478583526613,1273.7640636062647,1279.2354801177964
358.91347812969593,1255.7913378524775,1275.0155445098876,1281.239949531554
359.1286701619325,1253.7563689041124,1272.111588821409,1278.889985389709
359.34385108804713,1257.6393096542408,1278.5274909210223,1285.6263825988776
359.5590209056018,1252.0118955230714,1273.7070644760086,1280.2869640731806
359.77417961215843,1254.551356773375,1277.152011909487,1284.0074073028595
359.9893272052789,1254.3458599090623,1278.148496704102,1283.5244146728471
360.20446368252533,1256.782322731016,1282.5479295730595,1287.8618484878568
360.4195890414596,1253.2498766326917,1278.444992179869,1285.20988895416
360.6347032796434,1254.0793639755243,1280.374962730409,1285.0153919219988
360.84980639463885,1254.8438523101813,1283.0284222412074,1287.7053508758534
361.06489838400796,1257.0613184738147,1287.020361328129,1291.8577875137382
361.2799792453126,1253.2488766479457,1283.1649201583868,1289.229827613829
361.4950489761147,1255.5863409805302,1288.547838020324,1294.3077501296982
361.71010757397613,1252.7918836212182,1288.9358320999138,1294.4447480392432
361.92515503645893,1258.879290733336,1295.4697323989892,1300.8226507186907
362.14019136112495,1252.7508842468255,1292.1402832031263,1297.177206344606
362.35521654553617,1258.3102994155915,1299.1721759033205,1302.2436290359508
362.57023058725457,1252.5788868713335,1297.3342039489753,1303.2366138839682
362.7852334838421,1257.5998102569563,1304.0706011581453,1309.5195180130002
363.00022523286054,1251.7263998794556,1301.7241369628896,1307.4375497817973
363.21520583187197,1257.1743167495729,1307.8560433959985,1312.8604670333887
363.43017527843824,1253.6718701934792,1309.8650127410938,1314.798937454227
363.64513357012135,1256.3993285751328,1313.4059587097188,1317.7163929367073
363.8600807044832,1254.4943576431285,1314.931435432435,1319.1733707046526
