wavelength_nm,Dark,Light,Transmission,Source,Sample
345.9817242,14.335781249999895,14.335781249999895,14.335781249999895,1.0,1.0
346.19757813789363,34172.40656250083,34172.40656250083,34172.40656250083,1.0,1.0
346.4134211159492,1059.9927144368507,1079.7639683024108,1099.838328653972,19.771253865560084,39.84561421712124
346.6292531317287,1054.57324157715,1076.7844582112632,1096.775264282226,22.21121663411327,42.20202270507616
346.84507418279395,1059.349168701172,1080.099963175458,1099.6205541992178,20.750794474286067,40.2713854980459
347.060884266707,1093.7779766845674,1119.0362579345688,1141.0074782307936,25.258281250001346,47.229501546226174
347.2766833810296,1104.765364583333,1127.2147998046871,1150.784217936197,22.44943522135418,46.01885335286397
347.492471523324,1092.2544443766267,1115.3963134765609,1136.6057676188132,23.141869099934183,44.35132324218648
347.7082486911518,1104.7946974690765,1129.7054284667959,1152.088198038734,24.910730997719384,47.29350056965745
347.92401488207526,1102.1245159912082,1125.9774853515637,1148.5984735107434,23.852969360355473,46.47395751953513
348.139770093656,1099.5076670328758,1123.6317433675122,1145.419855346681,24.124076334636356,45.912188313805245
348.35551432345613,1101.8934084065747,1126.7428070068358,1149.8508988443984,24.84939860026111,47.95749043782371
348.57124756903755,1108.4968631998693,1134.2173596191415,1157.1458986409539,25.720496419272195,48.64903544108461
348.7869698279622,1090.419805704754,1115.7243084716786,1138.1337443033863,25.304502766924543,47.71393859863224
349.002681097792,1098.7930112711588,1121.8255487060576,1143.3016654459634,23.032537434898813,44.50865417480463
349.21838137608904,1100.2089896647128,1125.4254937744163,1146.4962833658876,25.216504109703465,46.287293701174804
349.434070660415,1094.639296875004,1120.2104622395827,1142.6661195882168,25.571165364578746,48.02682271321282
349.6497489483319,1107.4462125651053,1134.1862489827477,1156.8747916666678,26.740036417642386,49.42857910156249
349.86541623740175,1111.2817095947264,1185.5979089355455,1200.0359108479822,74.31619934081914,88.75420125325581
350.08107252518647,1105.3609110514328,1203.5923010253887,1215.1787908935528,98.23138997395586,109.81787984211996
350.2967178092479,1112.503024291992,1210.1744228108714,1222.189350585937,97.67139851887941,109.68632629394506
350.5123520871482,1103.4800508626306,1201.6518861897814,1214.1156960042335,98.1718353271508,110.63564514160294
350.72797535644906,1113.4443432617181,1213.4268176269518,1224.2470969645194,99.98247436523366,110.80275370280128
350.9435876147125,1103.6853810628259,1203.4714139811213,1215.3823433430998,99.7860329182954,111.69696228027397
351.1591888595005,1110.0257287597635,1211.8552860514296,1221.5760266113248,101.8295572916661,111.55029785156125
351.37477908837496,1104.3831481933594,1205.2642755126958,1214.6285770670593,100.88112731933643,110.2454288736999
351.59035829889785,1119.810468343102,1222.0266864013704,1235.2913728841172,102.2162180582684,115.4809045410152
351.80592648863103,1098.9938970947253,1201.8012172444653,1214.0072532145177,102.80732014974001,115.01335611979243
352.02148365513654,1094.8197385660844,1198.4332686360626,1208.7282226562459,103.6135300699782,113.90848409016144
352.2370297959762,1100.6552050781238,1206.1691505940735,1215.033015340171,105.51394551594967,114.3778102620472
352.45256490871196,1097.2108131917319,1201.5167771402987,1209.258881225588,104.30596394856684,112.04806803385623
352.66808899090586,1095.6010599772135,1203.333638305664,1211.5646238199872,107.73257832845047,115.96356384277374
352.8836020401198,1112.7136877441433,1216.906764526368,1228.1848146565721,104.19307678222481,115.47112691242887
353.09910405391565,1091.1851273600248,1197.2439534505206,1206.2420383707674,106.05882609049581,115.05691101074262
353.3145950298554,1100.5538732910145,1207.3895764160138,1215.7245603434237,106.83570312499933,115.17068705240922
353.53007496550094,1090.6580242919915,1199.3888096110015,1208.0597884114577,108.73078531901001,117.40176411946618
353.7455438584143,1104.7520314534506,1211.8935076904265,1221.7040246581996,107.1414762369759,116.95199320474899
353.96100170615733,1093.487314453125,1201.1212276204456,1209.8713163248706,107.63391316732054,116.38400187174557
354.17644850629205,1110.0301731363932,1220.4791544596346,1229.4452398681653,110.44898132324147,119.41506673177219
354.39188425638025,1106.753778686523,1217.3716463216133,1225.197304687499,110.6178676350903,118.44352600097591
354.607308953984,1110.742162272139,1222.501345825195,1231.2763230387347,111.75918355305589,120.53416076659573
354.82272259666513,1092.3246655273458,1203.3007499186199,1210.9904103596978,110.97608439127407,118.66574483235195
355.0381251819857,1107.898650105797,1220.0053839111342,1225.8408504231786,112.10673380533717,117.94220031738155
355.2535167075076,1100.9636448160818,1215.1707910156272,1222.8666735839886,114.20714619954538,121.90302876790679
355.46889717079273,1125.1232761637384,1240.4788492838538,1248.922276000977,115.35557312011542,123.79899983723863
355.684266569403,1107.7910961914072,1223.2062239583342,1230.4638909912114,115.41512776692707,122.67279479980425
355.8996249009004,1113.8932253011087,1230.108340861,1239.2068686930318,116.21511555989127,125.31364339192305
356.1149721628468,1090.050922444662,1207.712238159177,1213.6365922037776,117.66131571451501,123.58566975911549
356.3303083528043,1099.7343302408844,1218.1431901041653,1225.1768605550124,118.4088598632809,125.44253031412791
356.54563346833476,1113.5972298177087,1235.5749241129542,1241.1366170247356,121.97769429524556,127.53938720702695
356.76094750699997,1105.815126342775,1229.6087929280593,1236.5837976074215,123.7936665852842,130.7686712646464
356.97625046636205,1106.60800313314,1231.0754372151712,1236.6629075113929,124.4674340820311,130.0549043782528
357.1915423439828,1102.568953653968,1226.2995100911444,1232.564303385419,123.73055643717635,129.99534973145091
357.4068231374243,1099.5032226562478,1228.2834798177098,1231.3652105712902,128.78025716146203,131.8619879150424
357.62209284424836,1112.4203588867188,1242.661927083331,1247.625406901041,130.2415681966122,135.2050480143223
357.83735146201695,1103.3253865559896,1235.858475341798,1237.9286659749384,132.53308878580856,134.6032794189489
358.0525989882921,1108.2604223632836,1243.7374662272123,1245.2227768961545,135.47704386392866,136.9623545328709
358.2678354206356,1102.2996244303388,1244.1516821289051,1244.0014621988905,141.85205769856634,141.70183776855174
358.4830607566094,1102.8907265218122,1245.1036676025415,1244.3587900797509,142.21294108072925,141.46806355793865
358.6982749937756,1113.4247880045566,1261.6154156494094,1260.135438232424,148.19062764485284,146.7106502278673
358.91347812969593,1104.6089225260419,1253.473317667644,1251.844009195962,148.86439514160224,147.23508666992007
359.1286701619325,1102.5058435058606,1257.2377046712247,1253.172877807617,154.73186116536408,150.6670343017563
359.34385108804713,1126.382812499999,1285.951044311523,1282.5075413004577,159.5682318115239,156.12472880045857
359.5590209056018,1090.9033538818346,1259.6252237955696,1251.442237548828,168.72186991373496,160.53888366699334
